repo_name,commit_id,model_name,primary_language,doc_path,generation_time_sec,qa_pairs_count,qa_available,qa_score,quality_score,coverage_score,hierarchy_alignment,leaf_coverage,structural_fidelity,factual_grounding,actionability,coherence,required_sections_coverage,key_term_coverage,leaf_items_hit,leaf_items_total,notes
OpenHands,30604c40fc6e9ac914089376f41e118582954f22,meta-llama/CodeLlama-7b-Instruct-hf,python,outputs/docs_v2/CodeLlama/OpenHands.md,0.0,0,0,0.0,0.713288,0.616411,1.0,1.0,0.653333,0.408182,0.166667,0.527385,1.0,0.133333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.653; factual=0.408; actionability=0.167; coherence=0.527; section_coverage=1.000; key_term_coverage=0.133; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.653; factual=0.408; actionability=0.167; coherence=0.527; section_coverage=1.000; key_term_coverage=0.133; leaf_hits=1/1; terms=120
puppeteer,c1105f125c71353587a837958c2748097ef2927d,deepseek-ai/deepseek-coder-6.7b-instruct,javascript,outputs/docs_v2/DeepSeekCoder/puppeteer.md,0.0,0,0,0.0,0.801156,0.72712,1.0,1.0,0.643333,1.0,0.166667,0.489692,1.0,0.108333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.643; factual=1.000; actionability=0.167; coherence=0.490; section_coverage=1.000; key_term_coverage=0.108; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.643; factual=1.000; actionability=0.167; coherence=0.490; section_coverage=1.000; key_term_coverage=0.108; leaf_hits=1/1; terms=120
svelte,be645b4d9f84cb7580683c7b2336d1023906c4da,deepseek-ai/deepseek-coder-6.7b-instruct,javascript,outputs/docs_v2/DeepSeekCoder/svelte.md,0.0,0,0,0.0,0.727738,0.634486,1.0,1.0,0.656667,0.49535,0.166667,0.527215,1.0,0.141667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=0.495; actionability=0.167; coherence=0.527; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=0.495; actionability=0.167; coherence=0.527; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120
wazuh,44b7cd33e05abb7730228bb092b23b419ee4f15e,deepseek-ai/deepseek-coder-6.7b-instruct,cpp,outputs/docs_v2/DeepSeekCoder/wazuh.md,0.0,0,0,0.0,0.796335,0.748784,1.0,1.0,0.69,0.366824,1.0,0.582794,1.0,0.225,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.690; factual=0.367; actionability=1.000; coherence=0.583; section_coverage=1.000; key_term_coverage=0.225; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.690; factual=0.367; actionability=1.000; coherence=0.583; section_coverage=1.000; key_term_coverage=0.225; leaf_hits=1/1; terms=120
OpenHands,30604c40fc6e9ac914089376f41e118582954f22,mistralai/Mistral-7B-Instruct-v0.3,python,outputs/docs_v2/Mistral/OpenHands.md,0.0,0,0,0.0,0.70886,0.611237,1.0,1.0,0.646667,0.389185,0.166667,0.527112,1.0,0.116667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.647; factual=0.389; actionability=0.167; coherence=0.527; section_coverage=1.000; key_term_coverage=0.117; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.647; factual=0.389; actionability=0.167; coherence=0.527; section_coverage=1.000; key_term_coverage=0.117; leaf_hits=1/1; terms=120
electron,828fd59a72e673acf03f878b4f488a40fca46dfe,mistralai/Mistral-7B-Instruct-v0.3,cpp,outputs/docs_v2/Mistral/electron.md,0.0,0,0,0.0,0.827438,0.790323,1.0,1.0,0.733333,0.418,1.0,0.733709,1.0,0.333333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.733; factual=0.418; actionability=1.000; coherence=0.734; section_coverage=1.000; key_term_coverage=0.333; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.733; factual=0.418; actionability=1.000; coherence=0.734; section_coverage=1.000; key_term_coverage=0.333; leaf_hits=1/1; terms=120
logstash,895cfa5b14633ae9b9e671105f7b7935c9f2b9f1,mistralai/Mistral-7B-Instruct-v0.3,java,outputs/docs_v2/Mistral/logstash.md,0.0,0,0,0.0,0.818396,0.780385,1.0,1.0,0.69,0.442538,1.0,0.692517,1.0,0.225,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.690; factual=0.443; actionability=1.000; coherence=0.693; section_coverage=1.000; key_term_coverage=0.225; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.690; factual=0.443; actionability=1.000; coherence=0.693; section_coverage=1.000; key_term_coverage=0.225; leaf_hits=1/1; terms=120
ml-agents,4cf2f49ad0a973c95eb41325aa3a46959f187708,mistralai/Mistral-7B-Instruct-v0.3,python,outputs/docs_v2/Mistral/ml-agents.md,0.0,0,0,0.0,0.837555,0.81024,1.0,1.0,0.72,0.391111,1.0,0.920118,1.0,0.3,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.720; factual=0.391; actionability=1.000; coherence=0.920; section_coverage=1.000; key_term_coverage=0.300; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.720; factual=0.391; actionability=1.000; coherence=0.920; section_coverage=1.000; key_term_coverage=0.300; leaf_hits=1/1; terms=120
puppeteer,c1105f125c71353587a837958c2748097ef2927d,mistralai/Mistral-7B-Instruct-v0.3,javascript,outputs/docs_v2/Mistral/puppeteer.md,0.0,0,0,0.0,0.85952,0.83256,1.0,1.0,0.726667,0.60984,1.0,0.76839,1.0,0.316667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.727; factual=0.610; actionability=1.000; coherence=0.768; section_coverage=1.000; key_term_coverage=0.317; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.727; factual=0.610; actionability=1.000; coherence=0.768; section_coverage=1.000; key_term_coverage=0.317; leaf_hits=1/1; terms=120
svelte,be645b4d9f84cb7580683c7b2336d1023906c4da,mistralai/Mistral-7B-Instruct-v0.3,javascript,outputs/docs_v2/Mistral/svelte.md,0.0,0,0,0.0,0.727498,0.634183,1.0,1.0,0.656667,0.493815,0.166667,0.527245,1.0,0.141667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=0.494; actionability=0.167; coherence=0.527; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=0.494; actionability=0.167; coherence=0.527; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120
wazuh,44b7cd33e05abb7730228bb092b23b419ee4f15e,mistralai/Mistral-7B-Instruct-v0.3,cpp,outputs/docs_v2/Mistral/wazuh.md,0.0,0,0,0.0,0.422047,0.489287,0.4,0.0,0.663333,0.607492,0.166667,0.600809,1.0,0.158333,0,1,qa_pairs_missing; hierarchy=0.400; leaf_coverage=0.000; structural=0.663; factual=0.607; actionability=0.167; coherence=0.601; section_coverage=1.000; key_term_coverage=0.158; leaf_hits=0/1; terms=120; matrix: hierarchy=0.400; leaf_coverage=0.000; structural=0.663; factual=0.607; actionability=0.167; coherence=0.601; section_coverage=1.000; key_term_coverage=0.158; leaf_hits=0/1; terms=120
OpenHands,30604c40fc6e9ac914089376f41e118582954f22,Qwen/Qwen2.5-Coder-7B-Instruct,python,outputs/docs_v2/Qwen/OpenHands.md,0.0,0,0,0.0,0.833288,0.804487,1.0,1.0,0.726667,0.353526,1.0,0.92299,1.0,0.316667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.727; factual=0.354; actionability=1.000; coherence=0.923; section_coverage=1.000; key_term_coverage=0.317; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.727; factual=0.354; actionability=1.000; coherence=0.923; section_coverage=1.000; key_term_coverage=0.317; leaf_hits=1/1; terms=120
electron,828fd59a72e673acf03f878b4f488a40fca46dfe,Qwen/Qwen2.5-Coder-7B-Instruct,cpp,outputs/docs_v2/Qwen/electron.md,0.0,0,0,0.0,0.947891,0.950374,1.0,1.0,0.753333,1.0,1.0,0.998052,1.0,0.383333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.753; factual=1.000; actionability=1.000; coherence=0.998; section_coverage=1.000; key_term_coverage=0.383; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.753; factual=1.000; actionability=1.000; coherence=0.998; section_coverage=1.000; key_term_coverage=0.383; leaf_hits=1/1; terms=120
logstash,895cfa5b14633ae9b9e671105f7b7935c9f2b9f1,Qwen/Qwen2.5-Coder-7B-Instruct,java,outputs/docs_v2/Qwen/logstash.md,0.0,0,0,0.0,0.85198,0.829865,1.0,1.0,0.706667,0.492139,1.0,0.934025,1.0,0.266667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.707; factual=0.492; actionability=1.000; coherence=0.934; section_coverage=1.000; key_term_coverage=0.267; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.707; factual=0.492; actionability=1.000; coherence=0.934; section_coverage=1.000; key_term_coverage=0.267; leaf_hits=1/1; terms=120
ml-agents,4cf2f49ad0a973c95eb41325aa3a46959f187708,Qwen/Qwen2.5-Coder-7B-Instruct,python,outputs/docs_v2/Qwen/ml-agents.md,0.0,0,0,0.0,0.914629,0.908032,1.0,1.0,0.723333,0.868043,1.0,0.931714,1.0,0.308333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.723; factual=0.868; actionability=1.000; coherence=0.932; section_coverage=1.000; key_term_coverage=0.308; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.723; factual=0.868; actionability=1.000; coherence=0.932; section_coverage=1.000; key_term_coverage=0.308; leaf_hits=1/1; terms=120
puppeteer,c1105f125c71353587a837958c2748097ef2927d,Qwen/Qwen2.5-Coder-7B-Instruct,javascript,outputs/docs_v2/Qwen/puppeteer.md,0.0,0,0,0.0,0.825026,0.786185,1.0,1.0,0.726667,0.438346,0.833333,0.854549,1.0,0.316667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.727; factual=0.438; actionability=0.833; coherence=0.855; section_coverage=1.000; key_term_coverage=0.317; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.727; factual=0.438; actionability=0.833; coherence=0.855; section_coverage=1.000; key_term_coverage=0.317; leaf_hits=1/1; terms=120
svelte,be645b4d9f84cb7580683c7b2336d1023906c4da,Qwen/Qwen2.5-Coder-7B-Instruct,javascript,outputs/docs_v2/Qwen/svelte.md,0.0,0,0,0.0,0.842394,0.807755,1.0,1.0,0.723333,0.564194,1.0,0.668328,1.0,0.308333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.723; factual=0.564; actionability=1.000; coherence=0.668; section_coverage=1.000; key_term_coverage=0.308; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.723; factual=0.564; actionability=1.000; coherence=0.668; section_coverage=1.000; key_term_coverage=0.308; leaf_hits=1/1; terms=120
wazuh,44b7cd33e05abb7730228bb092b23b419ee4f15e,Qwen/Qwen2.5-Coder-7B-Instruct,cpp,outputs/docs_v2/Qwen/wazuh.md,0.0,0,0,0.0,0.894913,0.881702,1.0,1.0,0.743333,0.716897,1.0,0.931043,1.0,0.358333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.743; factual=0.717; actionability=1.000; coherence=0.931; section_coverage=1.000; key_term_coverage=0.358; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.743; factual=0.717; actionability=1.000; coherence=0.931; section_coverage=1.000; key_term_coverage=0.358; leaf_hits=1/1; terms=120
