repo_name,commit_id,model_name,primary_language,doc_path,generation_time_sec,qa_score,coverage_score,hierarchy_alignment,leaf_coverage,structural_fidelity,factual_grounding,actionability,coherence,required_sections_coverage,key_term_coverage,leaf_items_hit,leaf_items_total,notes
Chart.js,6372280085625b43ef34d7b70f3e86b063d22a10,deepseek-ai/deepseek-coder-6.7b-instruct,javascript,outputs/docs/DeepSeekCoder/Chart.js.md,0.0,0.0,0.718658,1.0,1.0,0.686667,0.553667,0.333333,0.803939,1.0,0.216667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.687; factual=0.554; actionability=0.333; coherence=0.804; section_coverage=1.000; key_term_coverage=0.217; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.687; factual=0.554; actionability=0.333; coherence=0.804; section_coverage=1.000; key_term_coverage=0.217; leaf_hits=1/1; terms=120
mermaid,82800a2c8461370fe133458c12dd42bdc5dc3871,deepseek-ai/deepseek-coder-6.7b-instruct,javascript,outputs/docs/DeepSeekCoder/mermaid.md,0.0,0.0,0.707955,1.0,1.0,0.67,0.538214,0.333333,0.775415,1.0,0.175,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=0.538; actionability=0.333; coherence=0.775; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=0.538; actionability=0.333; coherence=0.775; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120
ml-agents,4cf2f49ad0a973c95eb41325aa3a46959f187708,deepseek-ai/deepseek-coder-6.7b-instruct,python,outputs/docs/DeepSeekCoder/ml-agents.md,0.0,0.0,0.773627,1.0,1.0,0.666667,0.590333,0.666667,0.814848,1.0,0.166667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.590; actionability=0.667; coherence=0.815; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.590; actionability=0.667; coherence=0.815; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120
puppeteer,c1105f125c71353587a837958c2748097ef2927d,deepseek-ai/deepseek-coder-6.7b-instruct,javascript,outputs/docs/DeepSeekCoder/puppeteer.md,0.0,0.0,0.756551,1.0,1.0,0.673333,0.606774,0.5,0.836861,1.0,0.183333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.673; factual=0.607; actionability=0.500; coherence=0.837; section_coverage=1.000; key_term_coverage=0.183; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.673; factual=0.607; actionability=0.500; coherence=0.837; section_coverage=1.000; key_term_coverage=0.183; leaf_hits=1/1; terms=120
qmk_firmware,1a58fce043e7f2e2b938dee03945dabc29e48d73,deepseek-ai/deepseek-coder-6.7b-instruct,cpp,outputs/docs/DeepSeekCoder/qmk_firmware.md,0.0,0.0,0.781361,1.0,1.0,0.676667,0.620968,0.666667,0.812227,1.0,0.191667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.677; factual=0.621; actionability=0.667; coherence=0.812; section_coverage=1.000; key_term_coverage=0.192; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.677; factual=0.621; actionability=0.667; coherence=0.812; section_coverage=1.000; key_term_coverage=0.192; leaf_hits=1/1; terms=120
rasa,f28c69e4672cd978745f5a73396c79c26017d612,deepseek-ai/deepseek-coder-6.7b-instruct,python,outputs/docs/DeepSeekCoder/rasa.md,0.0,0.0,0.722706,1.0,1.0,0.696667,0.566296,0.333333,0.800758,1.0,0.241667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.697; factual=0.566; actionability=0.333; coherence=0.801; section_coverage=1.000; key_term_coverage=0.242; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.697; factual=0.566; actionability=0.333; coherence=0.801; section_coverage=1.000; key_term_coverage=0.242; leaf_hits=1/1; terms=120
storybook,f739234e9972691f757430404d8988e40b2dcf4c,deepseek-ai/deepseek-coder-6.7b-instruct,javascript,outputs/docs/DeepSeekCoder/storybook.md,0.0,0.0,0.749614,1.0,1.0,0.726667,0.634615,0.333333,0.849048,1.0,0.316667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.727; factual=0.635; actionability=0.333; coherence=0.849; section_coverage=1.000; key_term_coverage=0.317; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.727; factual=0.635; actionability=0.333; coherence=0.849; section_coverage=1.000; key_term_coverage=0.317; leaf_hits=1/1; terms=120
sumatrapdf,cdadfde74471e9b06898e5c1e87edd98b4204597,deepseek-ai/deepseek-coder-6.7b-instruct,cpp,outputs/docs/DeepSeekCoder/sumatrapdf.md,0.0,0.0,0.704633,0.95,1.0,0.618333,0.557333,0.5,0.73,0.875,0.233333,1,1,qa_pairs_missing; hierarchy=0.950; leaf_coverage=1.000; structural=0.618; factual=0.557; actionability=0.500; coherence=0.730; section_coverage=0.875; key_term_coverage=0.233; leaf_hits=1/1; terms=120; matrix: hierarchy=0.950; leaf_coverage=1.000; structural=0.618; factual=0.557; actionability=0.500; coherence=0.730; section_coverage=0.875; key_term_coverage=0.233; leaf_hits=1/1; terms=120
svelte,be645b4d9f84cb7580683c7b2336d1023906c4da,deepseek-ai/deepseek-coder-6.7b-instruct,javascript,outputs/docs/DeepSeekCoder/svelte.md,0.0,0.0,0.746289,1.0,1.0,0.66,0.601333,0.5,0.793485,1.0,0.15,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.660; factual=0.601; actionability=0.500; coherence=0.793; section_coverage=1.000; key_term_coverage=0.150; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.660; factual=0.601; actionability=0.500; coherence=0.793; section_coverage=1.000; key_term_coverage=0.150; leaf_hits=1/1; terms=120
trino,d1501ee536c0c6883ed960a184ba7b3f9e36a6c3,deepseek-ai/deepseek-coder-6.7b-instruct,java,outputs/docs/DeepSeekCoder/trino.md,0.0,0.0,0.81142,1.0,1.0,0.733333,0.652903,0.666667,0.894485,1.0,0.333333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.733; factual=0.653; actionability=0.667; coherence=0.894; section_coverage=1.000; key_term_coverage=0.333; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.733; factual=0.653; actionability=0.667; coherence=0.894; section_coverage=1.000; key_term_coverage=0.333; leaf_hits=1/1; terms=120
wazuh,44b7cd33e05abb7730228bb092b23b419ee4f15e,deepseek-ai/deepseek-coder-6.7b-instruct,cpp,outputs/docs/DeepSeekCoder/wazuh.md,0.0,0.0,0.749829,1.0,1.0,0.76,0.613462,0.5,0.66758,1.0,0.4,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.760; factual=0.613; actionability=0.500; coherence=0.668; section_coverage=1.000; key_term_coverage=0.400; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.760; factual=0.613; actionability=0.500; coherence=0.668; section_coverage=1.000; key_term_coverage=0.400; leaf_hits=1/1; terms=120
x64dbg,134e7ebb26523757ca9042f2a0925024751f42c7,deepseek-ai/deepseek-coder-6.7b-instruct,cpp,outputs/docs/DeepSeekCoder/x64dbg.md,0.0,0.0,0.748336,1.0,1.0,0.643333,0.6,0.666667,0.664463,1.0,0.108333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.643; factual=0.600; actionability=0.667; coherence=0.664; section_coverage=1.000; key_term_coverage=0.108; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.643; factual=0.600; actionability=0.667; coherence=0.664; section_coverage=1.000; key_term_coverage=0.108; leaf_hits=1/1; terms=120
