repo_name,commit_id,model_name,primary_language,doc_path,generation_time_sec,qa_score,coverage_score,hierarchy_alignment,leaf_coverage,structural_fidelity,factual_grounding,actionability,coherence,required_sections_coverage,key_term_coverage,leaf_items_hit,leaf_items_total,notes
Chart.js,6372280085625b43ef34d7b70f3e86b063d22a10,Qwen/Qwen2.5-Coder-7B-Instruct,javascript,outputs/docs/Qwen/Chart.js.md,0.0,0.0,0.5187,0.9,1.0,0.55,0.303171,0.0,0.520442,0.75,0.25,1,1,qa_pairs_missing; hierarchy=0.900; leaf_coverage=1.000; structural=0.550; factual=0.303; actionability=0.000; coherence=0.520; section_coverage=0.750; key_term_coverage=0.250; leaf_hits=1/1; terms=120; matrix: hierarchy=0.900; leaf_coverage=1.000; structural=0.550; factual=0.303; actionability=0.000; coherence=0.520; section_coverage=0.750; key_term_coverage=0.250; leaf_hits=1/1; terms=120
mermaid,82800a2c8461370fe133458c12dd42bdc5dc3871,Qwen/Qwen2.5-Coder-7B-Instruct,javascript,outputs/docs/Qwen/mermaid.md,0.0,0.0,0.67745,0.95,1.0,0.645,0.375294,0.5,0.755942,0.875,0.3,1,1,qa_pairs_missing; hierarchy=0.950; leaf_coverage=1.000; structural=0.645; factual=0.375; actionability=0.500; coherence=0.756; section_coverage=0.875; key_term_coverage=0.300; leaf_hits=1/1; terms=120; matrix: hierarchy=0.950; leaf_coverage=1.000; structural=0.645; factual=0.375; actionability=0.500; coherence=0.756; section_coverage=0.875; key_term_coverage=0.300; leaf_hits=1/1; terms=120
ml-agents,4cf2f49ad0a973c95eb41325aa3a46959f187708,Qwen/Qwen2.5-Coder-7B-Instruct,python,outputs/docs/Qwen/ml-agents.md,0.0,0.0,0.509156,0.9,1.0,0.52,0.223437,0.0,0.603125,0.75,0.175,1,1,qa_pairs_missing; hierarchy=0.900; leaf_coverage=1.000; structural=0.520; factual=0.223; actionability=0.000; coherence=0.603; section_coverage=0.750; key_term_coverage=0.175; leaf_hits=1/1; terms=120; matrix: hierarchy=0.900; leaf_coverage=1.000; structural=0.520; factual=0.223; actionability=0.000; coherence=0.603; section_coverage=0.750; key_term_coverage=0.175; leaf_hits=1/1; terms=120
puppeteer,c1105f125c71353587a837958c2748097ef2927d,Qwen/Qwen2.5-Coder-7B-Instruct,javascript,outputs/docs/Qwen/puppeteer.md,0.0,0.0,0.725576,1.0,1.0,0.656667,0.592581,0.333333,0.83818,1.0,0.141667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=0.593; actionability=0.333; coherence=0.838; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=0.593; actionability=0.333; coherence=0.838; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120
qmk_firmware,1a58fce043e7f2e2b938dee03945dabc29e48d73,Qwen/Qwen2.5-Coder-7B-Instruct,cpp,outputs/docs/Qwen/qmk_firmware.md,0.0,0.0,0.824391,1.0,1.0,0.673333,0.562754,1.0,0.847826,1.0,0.183333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.673; factual=0.563; actionability=1.000; coherence=0.848; section_coverage=1.000; key_term_coverage=0.183; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.673; factual=0.563; actionability=1.000; coherence=0.848; section_coverage=1.000; key_term_coverage=0.183; leaf_hits=1/1; terms=120
rasa,f28c69e4672cd978745f5a73396c79c26017d612,Qwen/Qwen2.5-Coder-7B-Instruct,python,outputs/docs/Qwen/rasa.md,0.0,0.0,0.722327,1.0,1.0,0.696667,0.566296,0.333333,0.798232,1.0,0.241667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.697; factual=0.566; actionability=0.333; coherence=0.798; section_coverage=1.000; key_term_coverage=0.242; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.697; factual=0.566; actionability=0.333; coherence=0.798; section_coverage=1.000; key_term_coverage=0.242; leaf_hits=1/1; terms=120
storybook,f739234e9972691f757430404d8988e40b2dcf4c,Qwen/Qwen2.5-Coder-7B-Instruct,javascript,outputs/docs/Qwen/storybook.md,0.0,0.0,0.791683,1.0,1.0,0.733333,0.447174,0.833333,0.870542,1.0,0.333333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.733; factual=0.447; actionability=0.833; coherence=0.871; section_coverage=1.000; key_term_coverage=0.333; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.733; factual=0.447; actionability=0.833; coherence=0.871; section_coverage=1.000; key_term_coverage=0.333; leaf_hits=1/1; terms=120
sumatrapdf,cdadfde74471e9b06898e5c1e87edd98b4204597,Qwen/Qwen2.5-Coder-7B-Instruct,cpp,outputs/docs/Qwen/sumatrapdf.md,0.0,0.0,0.763415,1.0,1.0,0.713333,0.487949,0.666667,0.821057,1.0,0.283333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.713; factual=0.488; actionability=0.667; coherence=0.821; section_coverage=1.000; key_term_coverage=0.283; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.713; factual=0.488; actionability=0.667; coherence=0.821; section_coverage=1.000; key_term_coverage=0.283; leaf_hits=1/1; terms=120
svelte,be645b4d9f84cb7580683c7b2336d1023906c4da,Qwen/Qwen2.5-Coder-7B-Instruct,javascript,outputs/docs/Qwen/svelte.md,0.0,0.0,0.722417,1.0,1.0,0.666667,0.586667,0.333333,0.811667,1.0,0.166667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.587; actionability=0.333; coherence=0.812; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.587; actionability=0.333; coherence=0.812; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120
trino,d1501ee536c0c6883ed960a184ba7b3f9e36a6c3,Qwen/Qwen2.5-Coder-7B-Instruct,java,outputs/docs/Qwen/trino.md,0.0,0.0,0.824094,1.0,1.0,0.713333,0.495,1.0,0.882851,1.0,0.283333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.713; factual=0.495; actionability=1.000; coherence=0.883; section_coverage=1.000; key_term_coverage=0.283; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.713; factual=0.495; actionability=1.000; coherence=0.883; section_coverage=1.000; key_term_coverage=0.283; leaf_hits=1/1; terms=120
wazuh,44b7cd33e05abb7730228bb092b23b419ee4f15e,Qwen/Qwen2.5-Coder-7B-Instruct,cpp,outputs/docs/Qwen/wazuh.md,0.0,0.0,0.749001,1.0,1.0,0.763333,0.613462,0.5,0.657615,1.0,0.408333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.763; factual=0.613; actionability=0.500; coherence=0.658; section_coverage=1.000; key_term_coverage=0.408; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.763; factual=0.613; actionability=0.500; coherence=0.658; section_coverage=1.000; key_term_coverage=0.408; leaf_hits=1/1; terms=120
x64dbg,134e7ebb26523757ca9042f2a0925024751f42c7,Qwen/Qwen2.5-Coder-7B-Instruct,cpp,outputs/docs/Qwen/x64dbg.md,0.0,0.0,0.852055,1.0,1.0,0.713333,0.644286,1.0,0.870211,1.0,0.283333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.713; factual=0.644; actionability=1.000; coherence=0.870; section_coverage=1.000; key_term_coverage=0.283; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.713; factual=0.644; actionability=1.000; coherence=0.870; section_coverage=1.000; key_term_coverage=0.283; leaf_hits=1/1; terms=120
