repo_name,commit_id,model_name,primary_language,doc_path,generation_time_sec,qa_pairs_count,qa_available,qa_score,quality_score,coverage_score,hierarchy_alignment,leaf_coverage,structural_fidelity,factual_grounding,actionability,coherence,required_sections_coverage,key_term_coverage,leaf_items_hit,leaf_items_total,notes
OpenHands,30604c40fc6e9ac914089376f41e118582954f22,Qwen/Qwen2.5-Coder-7B-Instruct,python,outputs/docs/Qwen/OpenHands.md,469.198,0,0,0.0,0.815863,0.770215,1.0,1.0,0.693333,0.54,0.666667,0.823657,1.0,0.233333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.693; factual=0.540; actionability=0.667; coherence=0.824; section_coverage=1.000; key_term_coverage=0.233; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.693; factual=0.540; actionability=0.667; coherence=0.824; section_coverage=1.000; key_term_coverage=0.233; leaf_hits=1/1; terms=120
puppeteer,c1105f125c71353587a837958c2748097ef2927d,deepseek-ai/deepseek-coder-6.7b-instruct,javascript,outputs/docs/DeepSeekCoder/puppeteer.md,456.43,0,0,0.0,0.834512,0.783691,1.0,1.0,0.676667,0.877317,0.333333,0.819297,1.0,0.191667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.677; factual=0.877; actionability=0.333; coherence=0.819; section_coverage=1.000; key_term_coverage=0.192; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.677; factual=0.877; actionability=0.333; coherence=0.819; section_coverage=1.000; key_term_coverage=0.192; leaf_hits=1/1; terms=120
svelte,be645b4d9f84cb7580683c7b2336d1023906c4da,deepseek-ai/deepseek-coder-6.7b-instruct,javascript,outputs/docs/DeepSeekCoder/svelte.md,510.458,0,0,0.0,0.914701,0.901105,1.0,1.0,0.726667,0.982979,0.833333,0.894504,1.0,0.316667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.727; factual=0.983; actionability=0.833; coherence=0.895; section_coverage=1.000; key_term_coverage=0.317; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.727; factual=0.983; actionability=0.833; coherence=0.895; section_coverage=1.000; key_term_coverage=0.317; leaf_hits=1/1; terms=120
wazuh,44b7cd33e05abb7730228bb092b23b419ee4f15e,deepseek-ai/deepseek-coder-6.7b-instruct,cpp,outputs/docs/DeepSeekCoder/wazuh.md,411.472,0,0,0.0,0.913944,0.908183,1.0,1.0,0.673333,0.97087,1.0,0.862286,1.0,0.183333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.673; factual=0.971; actionability=1.000; coherence=0.862; section_coverage=1.000; key_term_coverage=0.183; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.673; factual=0.971; actionability=1.000; coherence=0.862; section_coverage=1.000; key_term_coverage=0.183; leaf_hits=1/1; terms=120
OpenHands,30604c40fc6e9ac914089376f41e118582954f22,meta-llama/CodeLlama-7b-Instruct-hf,python,outputs/docs/CodeLlama/OpenHands.md,0.0,0,0,0.0,0.855834,0.811406,1.0,1.0,0.676667,1.0,0.333333,0.840486,1.0,0.191667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.677; factual=1.000; actionability=0.333; coherence=0.840; section_coverage=1.000; key_term_coverage=0.192; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.677; factual=1.000; actionability=0.333; coherence=0.840; section_coverage=1.000; key_term_coverage=0.192; leaf_hits=1/1; terms=120
electron,828fd59a72e673acf03f878b4f488a40fca46dfe,meta-llama/CodeLlama-7b-Instruct-hf,cpp,outputs/docs/CodeLlama/electron.md,0.0,0,0,0.0,0.519654,0.627246,0.4,0.0,0.653333,1.0,0.333333,0.843864,1.0,0.133333,0,1,qa_pairs_missing; hierarchy=0.400; leaf_coverage=0.000; structural=0.653; factual=1.000; actionability=0.333; coherence=0.844; section_coverage=1.000; key_term_coverage=0.133; leaf_hits=0/1; terms=120; matrix: hierarchy=0.400; leaf_coverage=0.000; structural=0.653; factual=1.000; actionability=0.333; coherence=0.844; section_coverage=1.000; key_term_coverage=0.133; leaf_hits=0/1; terms=120
logstash,895cfa5b14633ae9b9e671105f7b7935c9f2b9f1,meta-llama/CodeLlama-7b-Instruct-hf,java,outputs/docs/CodeLlama/logstash.md,644.399,0,0,0.0,0.825914,0.770298,1.0,1.0,0.67,0.883333,0.333333,0.730877,1.0,0.175,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=0.883; actionability=0.333; coherence=0.731; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=0.883; actionability=0.333; coherence=0.731; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120
ml-agents,4cf2f49ad0a973c95eb41325aa3a46959f187708,meta-llama/CodeLlama-7b-Instruct-hf,python,outputs/docs/CodeLlama/ml-agents.md,944.44,0,0,0.0,0.833959,0.777447,1.0,1.0,0.68,0.9625,0.166667,0.826313,1.0,0.2,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.680; factual=0.963; actionability=0.167; coherence=0.826; section_coverage=1.000; key_term_coverage=0.200; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.680; factual=0.963; actionability=0.167; coherence=0.826; section_coverage=1.000; key_term_coverage=0.200; leaf_hits=1/1; terms=120
puppeteer,c1105f125c71353587a837958c2748097ef2927d,meta-llama/CodeLlama-7b-Instruct-hf,javascript,outputs/docs/CodeLlama/puppeteer.md,819.244,0,0,0.0,0.919719,0.9164,1.0,1.0,0.67,1.0,1.0,0.882664,1.0,0.175,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=1.000; actionability=1.000; coherence=0.883; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=1.000; actionability=1.000; coherence=0.883; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120
svelte,be645b4d9f84cb7580683c7b2336d1023906c4da,meta-llama/CodeLlama-7b-Instruct-hf,javascript,outputs/docs/CodeLlama/svelte.md,863.542,0,0,0.0,0.870763,0.832386,1.0,1.0,0.7,1.0,0.333333,0.949242,1.0,0.25,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.700; factual=1.000; actionability=0.333; coherence=0.949; section_coverage=1.000; key_term_coverage=0.250; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.700; factual=1.000; actionability=0.333; coherence=0.949; section_coverage=1.000; key_term_coverage=0.250; leaf_hits=1/1; terms=120
wazuh,44b7cd33e05abb7730228bb092b23b419ee4f15e,meta-llama/CodeLlama-7b-Instruct-hf,cpp,outputs/docs/CodeLlama/wazuh.md,862.264,0,0,0.0,0.920117,0.917523,1.0,1.0,0.666667,1.0,1.0,0.894598,1.0,0.166667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=1.000; actionability=1.000; coherence=0.895; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=1.000; actionability=1.000; coherence=0.895; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120
OpenHands,30604c40fc6e9ac914089376f41e118582954f22,mistralai/Mistral-7B-Instruct-v0.3,python,outputs/docs/Mistral/OpenHands.md,576.837,0,0,0.0,0.840108,0.786272,1.0,1.0,0.673333,1.0,0.166667,0.844034,1.0,0.183333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.673; factual=1.000; actionability=0.167; coherence=0.844; section_coverage=1.000; key_term_coverage=0.183; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.673; factual=1.000; actionability=0.167; coherence=0.844; section_coverage=1.000; key_term_coverage=0.183; leaf_hits=1/1; terms=120
electron,828fd59a72e673acf03f878b4f488a40fca46dfe,mistralai/Mistral-7B-Instruct-v0.3,cpp,outputs/docs/Mistral/electron.md,415.197,0,0,0.0,0.845373,0.797226,1.0,1.0,0.656667,1.0,0.333333,0.772619,1.0,0.141667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=1.000; actionability=0.333; coherence=0.773; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=1.000; actionability=0.333; coherence=0.773; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120
logstash,895cfa5b14633ae9b9e671105f7b7935c9f2b9f1,mistralai/Mistral-7B-Instruct-v0.3,java,outputs/docs/Mistral/logstash.md,534.068,0,0,0.0,0.812693,0.751804,1.0,1.0,0.656667,0.8635,0.166667,0.818472,1.0,0.141667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=0.864; actionability=0.167; coherence=0.818; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=0.864; actionability=0.167; coherence=0.818; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120
ml-agents,4cf2f49ad0a973c95eb41325aa3a46959f187708,mistralai/Mistral-7B-Instruct-v0.3,python,outputs/docs/Mistral/ml-agents.md,561.053,0,0,0.0,0.831739,0.774784,1.0,1.0,0.673333,0.9625,0.166667,0.817449,1.0,0.183333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.673; factual=0.963; actionability=0.167; coherence=0.817; section_coverage=1.000; key_term_coverage=0.183; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.673; factual=0.963; actionability=0.167; coherence=0.817; section_coverage=1.000; key_term_coverage=0.183; leaf_hits=1/1; terms=120
puppeteer,c1105f125c71353587a837958c2748097ef2927d,mistralai/Mistral-7B-Instruct-v0.3,javascript,outputs/docs/Mistral/puppeteer.md,584.095,0,0,0.0,0.835783,0.78027,1.0,1.0,0.673333,0.98175,0.166667,0.828359,1.0,0.183333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.673; factual=0.982; actionability=0.167; coherence=0.828; section_coverage=1.000; key_term_coverage=0.183; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.673; factual=0.982; actionability=0.167; coherence=0.828; section_coverage=1.000; key_term_coverage=0.183; leaf_hits=1/1; terms=120
svelte,be645b4d9f84cb7580683c7b2336d1023906c4da,mistralai/Mistral-7B-Instruct-v0.3,javascript,outputs/docs/Mistral/svelte.md,604.81,0,0,0.0,0.855897,0.811985,1.0,1.0,0.673333,1.0,0.333333,0.848788,1.0,0.183333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.673; factual=1.000; actionability=0.333; coherence=0.849; section_coverage=1.000; key_term_coverage=0.183; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.673; factual=1.000; actionability=0.333; coherence=0.849; section_coverage=1.000; key_term_coverage=0.183; leaf_hits=1/1; terms=120
wazuh,44b7cd33e05abb7730228bb092b23b419ee4f15e,mistralai/Mistral-7B-Instruct-v0.3,cpp,outputs/docs/Mistral/wazuh.md,573.51,0,0,0.0,0.861471,0.817728,1.0,1.0,0.696667,1.0,0.333333,0.855966,1.0,0.241667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.697; factual=1.000; actionability=0.333; coherence=0.856; section_coverage=1.000; key_term_coverage=0.242; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.697; factual=1.000; actionability=0.333; coherence=0.856; section_coverage=1.000; key_term_coverage=0.242; leaf_hits=1/1; terms=120
