repo_name,commit_id,model_name,primary_language,doc_path,generation_time_sec,qa_score,coverage_score,hierarchy_alignment,leaf_coverage,structural_fidelity,factual_grounding,actionability,coherence,required_sections_coverage,key_term_coverage,leaf_items_hit,leaf_items_total,notes
Chart.js,6372280085625b43ef34d7b70f3e86b063d22a10,meta-llama/CodeLlama-7b-Instruct-hf,javascript,outputs/docs/CodeLlama/Chart.js.md,0.0,0.0,0.748538,1.0,1.0,0.693333,0.568333,0.5,0.80803,1.0,0.233333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.693; factual=0.568; actionability=0.500; coherence=0.808; section_coverage=1.000; key_term_coverage=0.233; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.693; factual=0.568; actionability=0.500; coherence=0.808; section_coverage=1.000; key_term_coverage=0.233; leaf_hits=1/1; terms=120
mermaid,82800a2c8461370fe133458c12dd42bdc5dc3871,meta-llama/CodeLlama-7b-Instruct-hf,javascript,outputs/docs/CodeLlama/mermaid.md,0.0,0.0,0.734911,1.0,1.0,0.663333,0.553929,0.5,0.776389,1.0,0.158333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.663; factual=0.554; actionability=0.500; coherence=0.776; section_coverage=1.000; key_term_coverage=0.158; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.663; factual=0.554; actionability=0.500; coherence=0.776; section_coverage=1.000; key_term_coverage=0.158; leaf_hits=1/1; terms=120
ml-agents,4cf2f49ad0a973c95eb41325aa3a46959f187708,meta-llama/CodeLlama-7b-Instruct-hf,python,outputs/docs/CodeLlama/ml-agents.md,0.0,0.0,0.725247,1.0,1.0,0.666667,0.594,0.333333,0.820758,1.0,0.166667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.594; actionability=0.333; coherence=0.821; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.594; actionability=0.333; coherence=0.821; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120
puppeteer,c1105f125c71353587a837958c2748097ef2927d,meta-llama/CodeLlama-7b-Instruct-hf,javascript,outputs/docs/CodeLlama/puppeteer.md,0.0,0.0,0.788255,1.0,1.0,0.666667,0.652903,0.666667,0.828943,1.0,0.166667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.653; actionability=0.667; coherence=0.829; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.653; actionability=0.667; coherence=0.829; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120
qmk_firmware,1a58fce043e7f2e2b938dee03945dabc29e48d73,meta-llama/CodeLlama-7b-Instruct-hf,cpp,outputs/docs/CodeLlama/qmk_firmware.md,0.0,0.0,0.811991,1.0,1.0,0.686667,0.635161,0.833333,0.817506,1.0,0.216667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.687; factual=0.635; actionability=0.833; coherence=0.818; section_coverage=1.000; key_term_coverage=0.217; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.687; factual=0.635; actionability=0.833; coherence=0.818; section_coverage=1.000; key_term_coverage=0.217; leaf_hits=1/1; terms=120
rasa,f28c69e4672cd978745f5a73396c79c26017d612,meta-llama/CodeLlama-7b-Instruct-hf,python,outputs/docs/CodeLlama/rasa.md,0.0,0.0,0.723752,1.0,1.0,0.7,0.566296,0.333333,0.803283,1.0,0.25,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.700; factual=0.566; actionability=0.333; coherence=0.803; section_coverage=1.000; key_term_coverage=0.250; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.700; factual=0.566; actionability=0.333; coherence=0.803; section_coverage=1.000; key_term_coverage=0.250; leaf_hits=1/1; terms=120
storybook,f739234e9972691f757430404d8988e40b2dcf4c,meta-llama/CodeLlama-7b-Instruct-hf,javascript,outputs/docs/CodeLlama/storybook.md,0.0,0.0,0.777994,1.0,1.0,0.733333,0.651538,0.5,0.840132,1.0,0.333333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.733; factual=0.652; actionability=0.500; coherence=0.840; section_coverage=1.000; key_term_coverage=0.333; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.733; factual=0.652; actionability=0.500; coherence=0.840; section_coverage=1.000; key_term_coverage=0.333; leaf_hits=1/1; terms=120
sumatrapdf,cdadfde74471e9b06898e5c1e87edd98b4204597,meta-llama/CodeLlama-7b-Instruct-hf,cpp,outputs/docs/CodeLlama/sumatrapdf.md,0.0,0.0,0.744419,1.0,1.0,0.656667,0.595517,0.5,0.793217,1.0,0.141667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=0.596; actionability=0.500; coherence=0.793; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=0.596; actionability=0.500; coherence=0.793; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120
svelte,be645b4d9f84cb7580683c7b2336d1023906c4da,meta-llama/CodeLlama-7b-Instruct-hf,javascript,outputs/docs/CodeLlama/svelte.md,0.0,0.0,0.719432,1.0,1.0,0.663333,0.586667,0.333333,0.796212,1.0,0.158333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.663; factual=0.587; actionability=0.333; coherence=0.796; section_coverage=1.000; key_term_coverage=0.158; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.663; factual=0.587; actionability=0.333; coherence=0.796; section_coverage=1.000; key_term_coverage=0.158; leaf_hits=1/1; terms=120
trino,d1501ee536c0c6883ed960a184ba7b3f9e36a6c3,meta-llama/CodeLlama-7b-Instruct-hf,java,outputs/docs/CodeLlama/trino.md,0.0,0.0,0.781852,1.0,1.0,0.726667,0.63871,0.5,0.891846,1.0,0.316667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.727; factual=0.639; actionability=0.500; coherence=0.892; section_coverage=1.000; key_term_coverage=0.317; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.727; factual=0.639; actionability=0.500; coherence=0.892; section_coverage=1.000; key_term_coverage=0.317; leaf_hits=1/1; terms=120
wazuh,44b7cd33e05abb7730228bb092b23b419ee4f15e,meta-llama/CodeLlama-7b-Instruct-hf,cpp,outputs/docs/CodeLlama/wazuh.md,0.0,0.0,0.722894,1.0,1.0,0.77,0.596538,0.333333,0.663908,1.0,0.425,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.770; factual=0.597; actionability=0.333; coherence=0.664; section_coverage=1.000; key_term_coverage=0.425; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.770; factual=0.597; actionability=0.333; coherence=0.664; section_coverage=1.000; key_term_coverage=0.425; leaf_hits=1/1; terms=120
x64dbg,134e7ebb26523757ca9042f2a0925024751f42c7,meta-llama/CodeLlama-7b-Instruct-hf,cpp,outputs/docs/CodeLlama/x64dbg.md,0.0,0.0,0.719509,1.0,1.0,0.66,0.63963,0.333333,0.730556,1.0,0.15,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.660; factual=0.640; actionability=0.333; coherence=0.731; section_coverage=1.000; key_term_coverage=0.150; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.660; factual=0.640; actionability=0.333; coherence=0.731; section_coverage=1.000; key_term_coverage=0.150; leaf_hits=1/1; terms=120
Chart.js,6372280085625b43ef34d7b70f3e86b063d22a10,deepseek-ai/deepseek-coder-6.7b-instruct,javascript,outputs/docs/DeepSeekCoder/Chart.js.md,0.0,0.0,0.718658,1.0,1.0,0.686667,0.553667,0.333333,0.803939,1.0,0.216667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.687; factual=0.554; actionability=0.333; coherence=0.804; section_coverage=1.000; key_term_coverage=0.217; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.687; factual=0.554; actionability=0.333; coherence=0.804; section_coverage=1.000; key_term_coverage=0.217; leaf_hits=1/1; terms=120
FluentValidation,298069b4ef88241013d0573f38e25c936e80685f,deepseek-ai/deepseek-coder-6.7b-instruct,csharp,outputs/docs/DeepSeekCoder/FluentValidation.md,0.0,0.0,0.655339,1.0,1.0,0.7,0.301714,0.333333,0.699971,1.0,0.25,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.700; factual=0.302; actionability=0.333; coherence=0.700; section_coverage=1.000; key_term_coverage=0.250; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.700; factual=0.302; actionability=0.333; coherence=0.700; section_coverage=1.000; key_term_coverage=0.250; leaf_hits=1/1; terms=120
OpenHands,30604c40fc6e9ac914089376f41e118582954f22,deepseek-ai/deepseek-coder-6.7b-instruct,python,outputs/docs/DeepSeekCoder/OpenHands.md,0.0,0.0,0.7121,1.0,1.0,0.68,0.566296,0.333333,0.752273,1.0,0.2,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.680; factual=0.566; actionability=0.333; coherence=0.752; section_coverage=1.000; key_term_coverage=0.200; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.680; factual=0.566; actionability=0.333; coherence=0.752; section_coverage=1.000; key_term_coverage=0.200; leaf_hits=1/1; terms=120
electron,828fd59a72e673acf03f878b4f488a40fca46dfe,deepseek-ai/deepseek-coder-6.7b-instruct,cpp,outputs/docs/DeepSeekCoder/electron.md,0.0,0.0,0.754545,1.0,1.0,0.706667,0.568333,0.5,0.830303,1.0,0.266667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.707; factual=0.568; actionability=0.500; coherence=0.830; section_coverage=1.000; key_term_coverage=0.267; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.707; factual=0.568; actionability=0.500; coherence=0.830; section_coverage=1.000; key_term_coverage=0.267; leaf_hits=1/1; terms=120
git-credential-manager,b62021fdd7f0e28bf851580e0afd834976bd79d1,deepseek-ai/deepseek-coder-6.7b-instruct,csharp,outputs/docs/DeepSeekCoder/git-credential-manager.md,0.0,0.0,0.714934,0.95,1.0,0.588333,0.55,0.666667,0.681779,0.875,0.158333,1,1,qa_pairs_missing; hierarchy=0.950; leaf_coverage=1.000; structural=0.588; factual=0.550; actionability=0.667; coherence=0.682; section_coverage=0.875; key_term_coverage=0.158; leaf_hits=1/1; terms=120; matrix: hierarchy=0.950; leaf_coverage=1.000; structural=0.588; factual=0.550; actionability=0.667; coherence=0.682; section_coverage=0.875; key_term_coverage=0.158; leaf_hits=1/1; terms=120
graphrag,a398cc38bb75c17ee37894f2f2a751e2231d9347,deepseek-ai/deepseek-coder-6.7b-instruct,python,outputs/docs/DeepSeekCoder/graphrag.md,0.0,0.0,0.646291,0.95,1.0,0.598333,0.345,0.5,0.650826,0.875,0.183333,1,1,qa_pairs_missing; hierarchy=0.950; leaf_coverage=1.000; structural=0.598; factual=0.345; actionability=0.500; coherence=0.651; section_coverage=0.875; key_term_coverage=0.183; leaf_hits=1/1; terms=120; matrix: hierarchy=0.950; leaf_coverage=1.000; structural=0.598; factual=0.345; actionability=0.500; coherence=0.651; section_coverage=0.875; key_term_coverage=0.183; leaf_hits=1/1; terms=120
json,4bc4e37f4f56f88b3a80abb7a6508b19a244e803,deepseek-ai/deepseek-coder-6.7b-instruct,cpp,outputs/docs/DeepSeekCoder/json.md,0.0,0.0,0.744741,1.0,1.0,0.67,0.597143,0.5,0.775415,1.0,0.175,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=0.597; actionability=0.500; coherence=0.775; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=0.597; actionability=0.500; coherence=0.775; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120
libsql,6e55668cdb1d1d7406ea7fd6eea22991ac1ac301,deepseek-ai/deepseek-coder-6.7b-instruct,python,outputs/docs/DeepSeekCoder/libsql.md,0.0,0.0,0.533196,0.85,1.0,0.435,0.474375,0.166667,0.475473,0.625,0.15,1,1,qa_pairs_missing; hierarchy=0.850; leaf_coverage=1.000; structural=0.435; factual=0.474; actionability=0.167; coherence=0.475; section_coverage=0.625; key_term_coverage=0.150; leaf_hits=1/1; terms=120; matrix: hierarchy=0.850; leaf_coverage=1.000; structural=0.435; factual=0.474; actionability=0.167; coherence=0.475; section_coverage=0.625; key_term_coverage=0.150; leaf_hits=1/1; terms=120
logstash,895cfa5b14633ae9b9e671105f7b7935c9f2b9f1,deepseek-ai/deepseek-coder-6.7b-instruct,java,outputs/docs/DeepSeekCoder/logstash.md,0.0,0.0,0.777236,1.0,1.0,0.656667,0.594688,0.666667,0.846433,1.0,0.141667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=0.595; actionability=0.667; coherence=0.846; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=0.595; actionability=0.667; coherence=0.846; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120
marktext,11c8cc1e1929a7975df39fa5f4503130fef53547,deepseek-ai/deepseek-coder-6.7b-instruct,javascript,outputs/docs/DeepSeekCoder/marktext.md,0.0,0.0,0.289356,0.25,0.0,0.401667,0.44,0.0,0.306818,0.625,0.066667,0,1,qa_pairs_missing; hierarchy=0.250; leaf_coverage=0.000; structural=0.402; factual=0.440; actionability=0.000; coherence=0.307; section_coverage=0.625; key_term_coverage=0.067; leaf_hits=0/1; terms=120; matrix: hierarchy=0.250; leaf_coverage=0.000; structural=0.402; factual=0.440; actionability=0.000; coherence=0.307; section_coverage=0.625; key_term_coverage=0.067; leaf_hits=0/1; terms=120
material-components-android,c2051db2a9be2a1e23f1128bfc76a9ff29ede7c4,deepseek-ai/deepseek-coder-6.7b-instruct,java,outputs/docs/DeepSeekCoder/material-components-android.md,0.0,0.0,0.737805,1.0,1.0,0.666667,0.499583,0.666667,0.697033,1.0,0.166667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.500; actionability=0.667; coherence=0.697; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.500; actionability=0.667; coherence=0.697; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120
mermaid,82800a2c8461370fe133458c12dd42bdc5dc3871,deepseek-ai/deepseek-coder-6.7b-instruct,javascript,outputs/docs/DeepSeekCoder/mermaid.md,0.0,0.0,0.707955,1.0,1.0,0.67,0.538214,0.333333,0.775415,1.0,0.175,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=0.538; actionability=0.333; coherence=0.775; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=0.538; actionability=0.333; coherence=0.775; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120
ml-agents,4cf2f49ad0a973c95eb41325aa3a46959f187708,deepseek-ai/deepseek-coder-6.7b-instruct,python,outputs/docs/DeepSeekCoder/ml-agents.md,0.0,0.0,0.773627,1.0,1.0,0.666667,0.590333,0.666667,0.814848,1.0,0.166667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.590; actionability=0.667; coherence=0.815; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.590; actionability=0.667; coherence=0.815; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120
puppeteer,c1105f125c71353587a837958c2748097ef2927d,deepseek-ai/deepseek-coder-6.7b-instruct,javascript,outputs/docs/DeepSeekCoder/puppeteer.md,0.0,0.0,0.756551,1.0,1.0,0.673333,0.606774,0.5,0.836861,1.0,0.183333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.673; factual=0.607; actionability=0.500; coherence=0.837; section_coverage=1.000; key_term_coverage=0.183; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.673; factual=0.607; actionability=0.500; coherence=0.837; section_coverage=1.000; key_term_coverage=0.183; leaf_hits=1/1; terms=120
qmk_firmware,1a58fce043e7f2e2b938dee03945dabc29e48d73,deepseek-ai/deepseek-coder-6.7b-instruct,cpp,outputs/docs/DeepSeekCoder/qmk_firmware.md,0.0,0.0,0.781361,1.0,1.0,0.676667,0.620968,0.666667,0.812227,1.0,0.191667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.677; factual=0.621; actionability=0.667; coherence=0.812; section_coverage=1.000; key_term_coverage=0.192; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.677; factual=0.621; actionability=0.667; coherence=0.812; section_coverage=1.000; key_term_coverage=0.192; leaf_hits=1/1; terms=120
rasa,f28c69e4672cd978745f5a73396c79c26017d612,deepseek-ai/deepseek-coder-6.7b-instruct,python,outputs/docs/DeepSeekCoder/rasa.md,0.0,0.0,0.722706,1.0,1.0,0.696667,0.566296,0.333333,0.800758,1.0,0.241667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.697; factual=0.566; actionability=0.333; coherence=0.801; section_coverage=1.000; key_term_coverage=0.242; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.697; factual=0.566; actionability=0.333; coherence=0.801; section_coverage=1.000; key_term_coverage=0.242; leaf_hits=1/1; terms=120
storybook,f739234e9972691f757430404d8988e40b2dcf4c,deepseek-ai/deepseek-coder-6.7b-instruct,javascript,outputs/docs/DeepSeekCoder/storybook.md,0.0,0.0,0.749614,1.0,1.0,0.726667,0.634615,0.333333,0.849048,1.0,0.316667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.727; factual=0.635; actionability=0.333; coherence=0.849; section_coverage=1.000; key_term_coverage=0.317; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.727; factual=0.635; actionability=0.333; coherence=0.849; section_coverage=1.000; key_term_coverage=0.317; leaf_hits=1/1; terms=120
sumatrapdf,cdadfde74471e9b06898e5c1e87edd98b4204597,deepseek-ai/deepseek-coder-6.7b-instruct,cpp,outputs/docs/DeepSeekCoder/sumatrapdf.md,0.0,0.0,0.704633,0.95,1.0,0.618333,0.557333,0.5,0.73,0.875,0.233333,1,1,qa_pairs_missing; hierarchy=0.950; leaf_coverage=1.000; structural=0.618; factual=0.557; actionability=0.500; coherence=0.730; section_coverage=0.875; key_term_coverage=0.233; leaf_hits=1/1; terms=120; matrix: hierarchy=0.950; leaf_coverage=1.000; structural=0.618; factual=0.557; actionability=0.500; coherence=0.730; section_coverage=0.875; key_term_coverage=0.233; leaf_hits=1/1; terms=120
