repo_name,commit_id,model_name,primary_language,doc_path,generation_time_sec,qa_score,coverage_score,hierarchy_alignment,leaf_coverage,structural_fidelity,factual_grounding,actionability,coherence,required_sections_coverage,key_term_coverage,leaf_items_hit,leaf_items_total,notes
OpenHands,30604c40fc6e9ac914089376f41e118582954f22,Qwen/Qwen2.5-Coder-7B-Instruct,python,outputs/docs/Qwen/OpenHands.md,0.0,0.0,0.829423,1.0,1.0,0.683333,0.599254,1.0,0.819373,1.0,0.208333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.683; factual=0.599; actionability=1.000; coherence=0.819; section_coverage=1.000; key_term_coverage=0.208; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.683; factual=0.599; actionability=1.000; coherence=0.819; section_coverage=1.000; key_term_coverage=0.208; leaf_hits=1/1; terms=120
puppeteer,c1105f125c71353587a837958c2748097ef2927d,deepseek-ai/deepseek-coder-6.7b-instruct,javascript,outputs/docs/DeepSeekCoder/puppeteer.md,0.0,0.0,0.756551,1.0,1.0,0.673333,0.606774,0.5,0.836861,1.0,0.183333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.673; factual=0.607; actionability=0.500; coherence=0.837; section_coverage=1.000; key_term_coverage=0.183; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.673; factual=0.607; actionability=0.500; coherence=0.837; section_coverage=1.000; key_term_coverage=0.183; leaf_hits=1/1; terms=120
svelte,be645b4d9f84cb7580683c7b2336d1023906c4da,deepseek-ai/deepseek-coder-6.7b-instruct,javascript,outputs/docs/DeepSeekCoder/svelte.md,0.0,0.0,0.746289,1.0,1.0,0.66,0.601333,0.5,0.793485,1.0,0.15,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.660; factual=0.601; actionability=0.500; coherence=0.793; section_coverage=1.000; key_term_coverage=0.150; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.660; factual=0.601; actionability=0.500; coherence=0.793; section_coverage=1.000; key_term_coverage=0.150; leaf_hits=1/1; terms=120
wazuh,44b7cd33e05abb7730228bb092b23b419ee4f15e,deepseek-ai/deepseek-coder-6.7b-instruct,cpp,outputs/docs/DeepSeekCoder/wazuh.md,0.0,0.0,0.749829,1.0,1.0,0.76,0.613462,0.5,0.66758,1.0,0.4,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.760; factual=0.613; actionability=0.500; coherence=0.668; section_coverage=1.000; key_term_coverage=0.400; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.760; factual=0.613; actionability=0.500; coherence=0.668; section_coverage=1.000; key_term_coverage=0.400; leaf_hits=1/1; terms=120
OpenHands,30604c40fc6e9ac914089376f41e118582954f22,meta-llama/CodeLlama-7b-Instruct-hf,python,outputs/docs/CodeLlama/OpenHands.md,0.0,0.0,0.70963,1.0,1.0,0.673333,0.566296,0.333333,0.744697,1.0,0.183333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.673; factual=0.566; actionability=0.333; coherence=0.745; section_coverage=1.000; key_term_coverage=0.183; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.673; factual=0.566; actionability=0.333; coherence=0.745; section_coverage=1.000; key_term_coverage=0.183; leaf_hits=1/1; terms=120
electron,828fd59a72e673acf03f878b4f488a40fca46dfe,meta-llama/CodeLlama-7b-Instruct-hf,cpp,outputs/docs/CodeLlama/electron.md,0.0,0.0,0.725453,1.0,1.0,0.706667,0.553667,0.333333,0.822576,1.0,0.266667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.707; factual=0.554; actionability=0.333; coherence=0.823; section_coverage=1.000; key_term_coverage=0.267; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.707; factual=0.554; actionability=0.333; coherence=0.823; section_coverage=1.000; key_term_coverage=0.267; leaf_hits=1/1; terms=120
logstash,895cfa5b14633ae9b9e671105f7b7935c9f2b9f1,meta-llama/CodeLlama-7b-Instruct-hf,java,outputs/docs/CodeLlama/logstash.md,0.0,0.0,0.831822,1.0,1.0,0.646667,0.622188,1.0,0.853677,1.0,0.116667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.647; factual=0.622; actionability=1.000; coherence=0.854; section_coverage=1.000; key_term_coverage=0.117; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.647; factual=0.622; actionability=1.000; coherence=0.854; section_coverage=1.000; key_term_coverage=0.117; leaf_hits=1/1; terms=120
ml-agents,4cf2f49ad0a973c95eb41325aa3a46959f187708,meta-llama/CodeLlama-7b-Instruct-hf,python,outputs/docs/CodeLlama/ml-agents.md,0.0,0.0,0.725247,1.0,1.0,0.666667,0.594,0.333333,0.820758,1.0,0.166667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.594; actionability=0.333; coherence=0.821; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.594; actionability=0.333; coherence=0.821; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120
puppeteer,c1105f125c71353587a837958c2748097ef2927d,meta-llama/CodeLlama-7b-Instruct-hf,javascript,outputs/docs/CodeLlama/puppeteer.md,0.0,0.0,0.788255,1.0,1.0,0.666667,0.652903,0.666667,0.828943,1.0,0.166667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.653; actionability=0.667; coherence=0.829; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.653; actionability=0.667; coherence=0.829; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120
svelte,be645b4d9f84cb7580683c7b2336d1023906c4da,meta-llama/CodeLlama-7b-Instruct-hf,javascript,outputs/docs/CodeLlama/svelte.md,0.0,0.0,0.719432,1.0,1.0,0.663333,0.586667,0.333333,0.796212,1.0,0.158333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.663; factual=0.587; actionability=0.333; coherence=0.796; section_coverage=1.000; key_term_coverage=0.158; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.663; factual=0.587; actionability=0.333; coherence=0.796; section_coverage=1.000; key_term_coverage=0.158; leaf_hits=1/1; terms=120
wazuh,44b7cd33e05abb7730228bb092b23b419ee4f15e,meta-llama/CodeLlama-7b-Instruct-hf,cpp,outputs/docs/CodeLlama/wazuh.md,0.0,0.0,0.722894,1.0,1.0,0.77,0.596538,0.333333,0.663908,1.0,0.425,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.770; factual=0.597; actionability=0.333; coherence=0.664; section_coverage=1.000; key_term_coverage=0.425; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.770; factual=0.597; actionability=0.333; coherence=0.664; section_coverage=1.000; key_term_coverage=0.425; leaf_hits=1/1; terms=120
OpenHands,30604c40fc6e9ac914089376f41e118582954f22,mistralai/Mistral-7B-Instruct-v0.3,python,outputs/docs/Mistral/OpenHands.md,0.0,0.0,0.73638,0.95,1.0,0.608333,0.27,1.0,0.83809,0.875,0.208333,1,1,qa_pairs_missing; hierarchy=0.950; leaf_coverage=1.000; structural=0.608; factual=0.270; actionability=1.000; coherence=0.838; section_coverage=0.875; key_term_coverage=0.208; leaf_hits=1/1; terms=120; matrix: hierarchy=0.950; leaf_coverage=1.000; structural=0.608; factual=0.270; actionability=1.000; coherence=0.838; section_coverage=0.875; key_term_coverage=0.208; leaf_hits=1/1; terms=120
electron,828fd59a72e673acf03f878b4f488a40fca46dfe,mistralai/Mistral-7B-Instruct-v0.3,cpp,outputs/docs/Mistral/electron.md,0.0,0.0,0.73093,1.0,1.0,0.716667,0.553667,0.333333,0.845758,1.0,0.291667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.717; factual=0.554; actionability=0.333; coherence=0.846; section_coverage=1.000; key_term_coverage=0.292; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.717; factual=0.554; actionability=0.333; coherence=0.846; section_coverage=1.000; key_term_coverage=0.292; leaf_hits=1/1; terms=120
logstash,895cfa5b14633ae9b9e671105f7b7935c9f2b9f1,mistralai/Mistral-7B-Instruct-v0.3,java,outputs/docs/Mistral/logstash.md,0.0,0.0,0.582037,0.9,1.0,0.49,0.406522,0.333333,0.551548,0.75,0.1,1,1,qa_pairs_missing; hierarchy=0.900; leaf_coverage=1.000; structural=0.490; factual=0.407; actionability=0.333; coherence=0.552; section_coverage=0.750; key_term_coverage=0.100; leaf_hits=1/1; terms=120; matrix: hierarchy=0.900; leaf_coverage=1.000; structural=0.490; factual=0.407; actionability=0.333; coherence=0.552; section_coverage=0.750; key_term_coverage=0.100; leaf_hits=1/1; terms=120
ml-agents,4cf2f49ad0a973c95eb41325aa3a46959f187708,mistralai/Mistral-7B-Instruct-v0.3,python,outputs/docs/Mistral/ml-agents.md,0.0,0.0,0.748406,1.0,1.0,0.67,0.575667,0.5,0.828485,1.0,0.175,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=0.576; actionability=0.500; coherence=0.828; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=0.576; actionability=0.500; coherence=0.828; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120
puppeteer,c1105f125c71353587a837958c2748097ef2927d,mistralai/Mistral-7B-Instruct-v0.3,javascript,outputs/docs/Mistral/puppeteer.md,0.0,0.0,0.761604,1.0,1.0,0.666667,0.63871,0.5,0.836861,1.0,0.166667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.639; actionability=0.500; coherence=0.837; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.639; actionability=0.500; coherence=0.837; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120
svelte,be645b4d9f84cb7580683c7b2336d1023906c4da,mistralai/Mistral-7B-Instruct-v0.3,javascript,outputs/docs/Mistral/svelte.md,0.0,0.0,0.718561,1.0,1.0,0.66,0.586667,0.333333,0.794848,1.0,0.15,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.660; factual=0.587; actionability=0.333; coherence=0.795; section_coverage=1.000; key_term_coverage=0.150; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.660; factual=0.587; actionability=0.333; coherence=0.795; section_coverage=1.000; key_term_coverage=0.150; leaf_hits=1/1; terms=120
wazuh,44b7cd33e05abb7730228bb092b23b419ee4f15e,mistralai/Mistral-7B-Instruct-v0.3,cpp,outputs/docs/Mistral/wazuh.md,0.0,0.0,0.749001,1.0,1.0,0.763333,0.613462,0.5,0.657615,1.0,0.408333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.763; factual=0.613; actionability=0.500; coherence=0.658; section_coverage=1.000; key_term_coverage=0.408; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.763; factual=0.613; actionability=0.500; coherence=0.658; section_coverage=1.000; key_term_coverage=0.408; leaf_hits=1/1; terms=120
