repo_name,commit_id,model_name,primary_language,doc_path,generation_time_sec,qa_score,coverage_score,hierarchy_alignment,leaf_coverage,structural_fidelity,factual_grounding,actionability,coherence,required_sections_coverage,key_term_coverage,leaf_items_hit,leaf_items_total,notes
Chart.js,6372280085625b43ef34d7b70f3e86b063d22a10,mistralai/Mistral-7B-Instruct-v0.3,javascript,outputs/docs/Mistral/Chart.js.md,0.0,0.0,0.810672,0.95,1.0,0.655,0.580556,1.0,0.857071,0.875,0.325,1,1,qa_pairs_missing; hierarchy=0.950; leaf_coverage=1.000; structural=0.655; factual=0.581; actionability=1.000; coherence=0.857; section_coverage=0.875; key_term_coverage=0.325; leaf_hits=1/1; terms=120; matrix: hierarchy=0.950; leaf_coverage=1.000; structural=0.655; factual=0.581; actionability=1.000; coherence=0.857; section_coverage=0.875; key_term_coverage=0.325; leaf_hits=1/1; terms=120
mermaid,82800a2c8461370fe133458c12dd42bdc5dc3871,mistralai/Mistral-7B-Instruct-v0.3,javascript,outputs/docs/Mistral/mermaid.md,0.0,0.0,0.736682,1.0,1.0,0.67,0.553929,0.5,0.779311,1.0,0.175,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=0.554; actionability=0.500; coherence=0.779; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=0.554; actionability=0.500; coherence=0.779; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120
ml-agents,4cf2f49ad0a973c95eb41325aa3a46959f187708,mistralai/Mistral-7B-Instruct-v0.3,python,outputs/docs/Mistral/ml-agents.md,0.0,0.0,0.748406,1.0,1.0,0.67,0.575667,0.5,0.828485,1.0,0.175,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=0.576; actionability=0.500; coherence=0.828; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.670; factual=0.576; actionability=0.500; coherence=0.828; section_coverage=1.000; key_term_coverage=0.175; leaf_hits=1/1; terms=120
puppeteer,c1105f125c71353587a837958c2748097ef2927d,mistralai/Mistral-7B-Instruct-v0.3,javascript,outputs/docs/Mistral/puppeteer.md,0.0,0.0,0.761604,1.0,1.0,0.666667,0.63871,0.5,0.836861,1.0,0.166667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.639; actionability=0.500; coherence=0.837; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.667; factual=0.639; actionability=0.500; coherence=0.837; section_coverage=1.000; key_term_coverage=0.167; leaf_hits=1/1; terms=120
qmk_firmware,1a58fce043e7f2e2b938dee03945dabc29e48d73,mistralai/Mistral-7B-Instruct-v0.3,cpp,outputs/docs/Mistral/qmk_firmware.md,0.0,0.0,0.72255,1.0,1.0,0.686667,0.560645,0.333333,0.820585,1.0,0.216667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.687; factual=0.561; actionability=0.333; coherence=0.821; section_coverage=1.000; key_term_coverage=0.217; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.687; factual=0.561; actionability=0.333; coherence=0.821; section_coverage=1.000; key_term_coverage=0.217; leaf_hits=1/1; terms=120
rasa,f28c69e4672cd978745f5a73396c79c26017d612,mistralai/Mistral-7B-Instruct-v0.3,python,outputs/docs/Mistral/rasa.md,0.0,0.0,0.728085,1.0,1.0,0.713333,0.566296,0.333333,0.814394,1.0,0.283333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.713; factual=0.566; actionability=0.333; coherence=0.814; section_coverage=1.000; key_term_coverage=0.283; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.713; factual=0.566; actionability=0.333; coherence=0.814; section_coverage=1.000; key_term_coverage=0.283; leaf_hits=1/1; terms=120
storybook,f739234e9972691f757430404d8988e40b2dcf4c,mistralai/Mistral-7B-Instruct-v0.3,javascript,outputs/docs/Mistral/storybook.md,0.0,0.0,0.77835,1.0,1.0,0.73,0.651538,0.5,0.84695,1.0,0.325,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.730; factual=0.652; actionability=0.500; coherence=0.847; section_coverage=1.000; key_term_coverage=0.325; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.730; factual=0.652; actionability=0.500; coherence=0.847; section_coverage=1.000; key_term_coverage=0.325; leaf_hits=1/1; terms=120
sumatrapdf,cdadfde74471e9b06898e5c1e87edd98b4204597,mistralai/Mistral-7B-Instruct-v0.3,cpp,outputs/docs/Mistral/sumatrapdf.md,0.0,0.0,0.671575,0.95,1.0,0.598333,0.738571,0.166667,0.627958,0.875,0.183333,1,1,qa_pairs_missing; hierarchy=0.950; leaf_coverage=1.000; structural=0.598; factual=0.739; actionability=0.167; coherence=0.628; section_coverage=0.875; key_term_coverage=0.183; leaf_hits=1/1; terms=120; matrix: hierarchy=0.950; leaf_coverage=1.000; structural=0.598; factual=0.739; actionability=0.167; coherence=0.628; section_coverage=0.875; key_term_coverage=0.183; leaf_hits=1/1; terms=120
svelte,be645b4d9f84cb7580683c7b2336d1023906c4da,mistralai/Mistral-7B-Instruct-v0.3,javascript,outputs/docs/Mistral/svelte.md,0.0,0.0,0.718561,1.0,1.0,0.66,0.586667,0.333333,0.794848,1.0,0.15,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.660; factual=0.587; actionability=0.333; coherence=0.795; section_coverage=1.000; key_term_coverage=0.150; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.660; factual=0.587; actionability=0.333; coherence=0.795; section_coverage=1.000; key_term_coverage=0.150; leaf_hits=1/1; terms=120
trino,d1501ee536c0c6883ed960a184ba7b3f9e36a6c3,mistralai/Mistral-7B-Instruct-v0.3,java,outputs/docs/Mistral/trino.md,0.0,0.0,0.757743,1.0,1.0,0.743333,0.624516,0.333333,0.894485,1.0,0.358333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.743; factual=0.625; actionability=0.333; coherence=0.894; section_coverage=1.000; key_term_coverage=0.358; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.743; factual=0.625; actionability=0.333; coherence=0.894; section_coverage=1.000; key_term_coverage=0.358; leaf_hits=1/1; terms=120
wazuh,44b7cd33e05abb7730228bb092b23b419ee4f15e,mistralai/Mistral-7B-Instruct-v0.3,cpp,outputs/docs/Mistral/wazuh.md,0.0,0.0,0.749001,1.0,1.0,0.763333,0.613462,0.5,0.657615,1.0,0.408333,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.763; factual=0.613; actionability=0.500; coherence=0.658; section_coverage=1.000; key_term_coverage=0.408; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.763; factual=0.613; actionability=0.500; coherence=0.658; section_coverage=1.000; key_term_coverage=0.408; leaf_hits=1/1; terms=120
x64dbg,134e7ebb26523757ca9042f2a0925024751f42c7,mistralai/Mistral-7B-Instruct-v0.3,cpp,outputs/docs/Mistral/x64dbg.md,0.0,0.0,0.711509,1.0,1.0,0.656667,0.602963,0.333333,0.730556,1.0,0.141667,1,1,qa_pairs_missing; hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=0.603; actionability=0.333; coherence=0.731; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120; matrix: hierarchy=1.000; leaf_coverage=1.000; structural=0.657; factual=0.603; actionability=0.333; coherence=0.731; section_coverage=1.000; key_term_coverage=0.142; leaf_hits=1/1; terms=120
